Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
Apr,4,Wednesday,Pontiac,Urban,Monday,May,5,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8590,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,All Perils,1671.92,
Feb,1,Thursday,Honda,Urban,Monday,Feb,1,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8596,7,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,51096.87,
Feb,1,Friday,Pontiac,Urban,Monday,Feb,1,Female,Married,38,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8597,16,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,2366.45,
Jan,2,Saturday,Pontiac,Urban,Thursday,Jan,2,Female,Single,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8598,11,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,4500.52,
Jan,1,Friday,Chevrolet,Urban,Monday,Jan,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8599,4,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,61022.56,
Sep,4,Tuesday,Toyota,Urban,Thursday,Sep,5,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8607,5,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,5199.06,
Jul,4,Saturday,Pontiac,Urban,Wednesday,Jul,4,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8609,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,9027.44,
Nov,3,Monday,Chevrolet,Urban,Thursday,Nov,4,Male,Married,44,Policy Holder,Utility - All Perils,Utility,more than 69000,8615,12,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,7933.92,
Jan,3,Thursday,Honda,Urban,Friday,Jan,4,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8618,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,62706.3,
Oct,4,Monday,Toyota,Urban,Monday,Oct,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8621,10,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,4715.4,
Oct,2,Thursday,Pontiac,Urban,Thursday,Nov,1,Female,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8622,1,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,3485.34,
Jun,3,Friday,Chevrolet,Urban,Monday,Jun,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8625,8,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,59663.53,
Feb,3,Wednesday,Honda,Urban,Monday,Feb,4,Female,Married,53,Policy Holder,Sedan - Collision,Sedan,less than 20000,8628,13,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,4212.51,
Feb,3,Tuesday,Toyota,Urban,Tuesday,Feb,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8629,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,51811.7,
Feb,1,Saturday,Chevrolet,Urban,Monday,Feb,1,Male,Married,66,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8632,8,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,4678.12,
Dec,3,Thursday,Pontiac,Rural,Monday,Dec,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,less than 20000,8635,8,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,3508.49,
Aug,5,Sunday,Pontiac,Urban,Monday,Aug,5,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8642,9,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,76027.26,
Aug,4,Friday,Pontiac,Urban,Tuesday,Aug,5,Male,Single,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8643,15,400,3,more than 30,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,7199.08,
May,4,Friday,Pontiac,Urban,Friday,Jun,1,Male,Married,64,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8645,3,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,8143.65,
Sep,2,Saturday,Honda,Rural,Tuesday,Sep,3,Male,Single,0,Third Party,Sedan - Liability,Sport,more than 69000,8648,5,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,2883.72,
Dec,3,Friday,Toyota,Urban,Saturday,Dec,3,Male,Married,47,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8649,10,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,17913.39,
Feb,3,Monday,Chevrolet,Urban,Monday,Feb,4,Female,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8651,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,51358.81,
Apr,1,Saturday,Accura,Rural,Wednesday,Aug,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8655,8,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,2898.57,
Mar,1,Saturday,Toyota,Urban,Monday,Mar,1,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8657,11,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,3329.88,
Apr,1,Sunday,Honda,Urban,Saturday,Apr,2,Female,Single,27,Third Party,Sedan - Liability,Sport,20000 to 29000,8662,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,6914.77,
Jan,4,Wednesday,Chevrolet,Urban,Friday,Jan,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8664,1,400,1,more than 30,more than 30,1,more than 7,51 to 65,Yes,Yes,External,none,no change,1 vehicle,1995,All Perils,849.73,
Jan,4,Thursday,Toyota,Urban,Thursday,Feb,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8665,15,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,1027.2,
Dec,3,Saturday,Accura,Urban,Monday,Dec,3,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8666,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,7150.99,
Dec,3,Saturday,Mazda,Urban,Wednesday,Dec,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8668,6,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,38364.65,
Jan,3,Monday,Pontiac,Urban,Wednesday,Feb,1,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8669,11,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,74424.8,
Jan,1,Thursday,Saab,Rural,Monday,Jan,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8673,14,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,1456.7,
Mar,1,Friday,Honda,Urban,Monday,Mar,2,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8679,2,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,4713.23,
Feb,1,Friday,Toyota,Urban,Friday,Feb,1,Male,Single,38,Policy Holder,Sedan - Collision,Sedan,less than 20000,8683,15,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,Yes,External,none,no change,1 vehicle,1995,Collision,2475.74,
Feb,2,Monday,Pontiac,Urban,Monday,Feb,2,Female,Single,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8684,14,400,2,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,89168.62,
Jan,3,Saturday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8688,7,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,13564.86,
Jan,2,Thursday,Toyota,Urban,Friday,Jan,3,Female,Single,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8689,7,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,694.16,
Jan,1,Saturday,Mazda,Rural,Tuesday,Feb,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8696,16,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,2737.64,
Dec,5,Friday,Honda,Urban,Monday,Jan,1,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8706,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,2170.19,
Jan,1,Monday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8709,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,89443.56,
Jan,1,Saturday,Pontiac,Urban,Thursday,Jan,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,30000 to 39000,8710,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,50101.93,
Dec,5,Friday,Toyota,Urban,Monday,Jan,1,Female,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8712,10,700,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,3236.19,
Jan,2,Sunday,Toyota,Urban,Tuesday,Jan,2,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8720,11,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,71331.1,
Jan,3,Wednesday,Chevrolet,Urban,Wednesday,Jan,3,Female,Married,47,Policy Holder,Sedan - Liability,Sport,more than 69000,8727,10,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,8402.79,
Jan,5,Saturday,Accura,Urban,Monday,Feb,2,Male,Married,72,Policy Holder,Utility - All Perils,Utility,more than 69000,8730,10,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,44554.79,
Jan,5,Sunday,Honda,Urban,Thursday,Feb,1,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8731,6,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,59882.82,
Feb,1,Tuesday,Mazda,Urban,Thursday,Feb,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8732,6,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,6581.67,
Dec,3,Tuesday,Toyota,Rural,Tuesday,Dec,3,Female,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,8735,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,749.28,
Dec,3,Tuesday,Mazda,Urban,Monday,Jan,1,Male,Married,29,Third Party,Sedan - All Perils,Sedan,30000 to 39000,8736,16,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,4889.17,
Jan,1,Thursday,Chevrolet,Urban,Monday,Jan,2,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8738,12,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,1431.82,
Dec,4,Thursday,Toyota,Urban,Thursday,Dec,5,Female,Married,37,Policy Holder,Sedan - Collision,Sedan,less than 20000,8748,14,400,3,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,Collision,53217.07,
Feb,2,Friday,Toyota,Urban,Monday,Feb,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8757,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,4929.34,
Feb,4,Tuesday,Pontiac,Urban,Friday,Feb,4,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8760,16,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,78176.82,
Nov,2,Wednesday,Honda,Urban,Thursday,Nov,2,Male,Single,54,Third Party,Sedan - Collision,Sedan,30000 to 39000,8761,12,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,4084.04,
Feb,4,Thursday,Ford,Urban,Friday,Feb,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8766,12,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,19427.34,
Feb,3,Monday,Pontiac,Urban,Friday,Feb,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8769,16,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,74693.09,
Feb,2,Tuesday,Toyota,Urban,Monday,Feb,2,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8777,14,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,22393.39,
Dec,4,Saturday,Toyota,Urban,Thursday,Feb,2,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8785,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,4894.11,
Feb,3,Thursday,Chevrolet,Urban,Friday,Feb,3,Female,Married,28,Third Party,Sedan - Liability,Sport,more than 69000,8790,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,5922.6,
Feb,2,Wednesday,Ford,Urban,Friday,Feb,2,Male,Married,62,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8792,15,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,25117.96,
Jan,5,Monday,Pontiac,Urban,Thursday,Feb,1,Female,Single,29,Third Party,Sedan - Collision,Sedan,less than 20000,8794,4,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,1524.1,
Jan,2,Wednesday,Mazda,Urban,Wednesday,Jan,2,Female,Single,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8802,11,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,690.3,
Jan,2,Sunday,Honda,Urban,Wednesday,Jan,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,8803,14,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,2197.76,
Jan,1,Saturday,Pontiac,Rural,Friday,May,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8805,9,700,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,15620.05,
Jun,2,Saturday,Pontiac,Urban,Monday,Jun,4,Male,Married,64,Policy Holder,Sedan - Liability,Sport,less than 20000,8807,9,400,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,8791.39,
Feb,3,Sunday,Pontiac,Urban,Thursday,Feb,4,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8810,6,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,13364.45,
Mar,5,Tuesday,Toyota,Urban,Monday,Apr,1,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8811,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,23599.24,
Mar,4,Tuesday,Mazda,Urban,Tuesday,Mar,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8812,2,400,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,8027.09,
Jun,3,Thursday,Pontiac,Urban,Thursday,Jun,3,Male,Single,46,Third Party,Sedan - Collision,Sedan,more than 69000,8816,15,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,1995,Collision,14199.74,
Mar,1,Wednesday,Mazda,Urban,Wednesday,Mar,1,Male,Married,33,Third Party,Sedan - Collision,Sedan,more than 69000,8817,2,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,5331.3,
Dec,4,Sunday,Pontiac,Rural,Wednesday,Dec,5,Male,Single,25,Third Party,Sedan - Collision,Sedan,20000 to 29000,8818,1,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,12883.41,
Apr,1,Thursday,Mazda,Urban,Wednesday,Apr,3,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8819,12,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,7256.1,
Aug,2,Wednesday,Toyota,Urban,Monday,Nov,1,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8822,2,400,3,more than 30,more than 30,1,7 years,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,1995,Collision,28466.33,
Aug,3,Saturday,Mazda,Urban,Friday,Sep,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8823,6,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,3753.45,
Feb,4,Wednesday,Honda,Urban,Wednesday,Mar,2,Male,Single,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8824,8,500,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,Collision,59459,
Mar,3,Thursday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8825,3,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,7956.5,
Oct,3,Friday,Mazda,Urban,Friday,Oct,4,Female,Married,36,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8835,4,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,2116.4,
Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Female,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8839,7,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,10219.16,
Apr,5,Thursday,Toyota,Urban,Wednesday,May,2,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8845,4,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,8240.09,
Jul,5,Saturday,Pontiac,Urban,Tuesday,Aug,1,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8850,7,400,2,more than 30,more than 30,2 to 4,3 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,16624.97,
Sep,2,Friday,Chevrolet,Urban,Friday,Sep,3,Female,Divorced,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8854,2,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,10518.87,
Dec,4,Tuesday,Chevrolet,Urban,Tuesday,Dec,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8861,11,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,32003.46,
Jun,1,Thursday,Toyota,Urban,Friday,Jun,1,Male,Single,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,8865,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,4606.7,
Oct,2,Monday,Honda,Urban,Tuesday,Oct,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8868,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,7712.08,
Sep,1,Monday,VW,Urban,Tuesday,Sep,1,Male,Single,20,Policy Holder,Sedan - Liability,Sport,more than 69000,8869,10,400,1,more than 30,more than 30,2 to 4,3 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,6836.44,
